AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_5_9,AGE_65_74,AGE_75_84,AGE_85_UP,AGE_UNDER5,AMERI_ES,ASIAN,AVE_FAM_SZ,AVE_HH_SZ,BLACK,CAPITAL,CLASS,FAMILIES,FEMALES,FHH_CHILD,FID,HAWN_PI,HISPANIC,HOUSEHOLDS,HSEHLD_1_F,HSEHLD_1_M,HSE_UNITS,MALES,MARHH_CHD,MARHH_NO_C,MED_AGE,MED_AGE_F,MED_AGE_M,MHH_CHILD,MULT_RACE,NAME,OBJECTID,OTHER,OWNER_OCC,PLACEFIPS,POP2010,POPULATION,POP_CLASS,RENTER_OCC,SHAPE,ST,STFIPS,VACANT,WHITE
1413,1381,1106,2138,1815,1411,979,1557,525,307,93,1562,112,55,3.99,3.77,122, ,city,3352,7385,672,6,8,13708,3791,227,207,4052,6902,1621,673,25.5,26.8,24.2,188,345,Somerton,6,4449,2717,0468080,14287,14980,6,1074,"{'x': -12768343.256613126, 'y': 3842463.7081350163, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",AZ,04,261,9196
727,738,677,1380,1185,1333,1087,740,661,444,162,798,426,256,3.07,2.52,70, ,city,2528,5294,524,20,17,1070,3944,839,556,4211,4638,740,763,34.3,36.9,31.7,168,537,Anderson,20,353,1888,0602042,9932,10239,6,2056,"{'x': -13613950.337588644, 'y': 4931686.754090446, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",CA,06,267,8273
593,511,2323,2767,746,127,34,1229,4,2,0,2280,146,299,3.69,3.63,992, ,Census Designated Place,2500,4835,169,67,41,2586,2569,53,16,2865,5781,1895,389,21.5,21.2,21.7,37,883,Camp Pendleton South,67,725,11,0610561,10616,11869,6,2558,"{'x': -13066582.116550362, 'y': 3925650.6766163236, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",CA,06,296,7530
888,988,900,1729,1479,1443,959,766,514,280,57,863,120,860,4.33,4.15,240, ,Census Designated Place,2195,5374,255,85,4,7911,2615,193,217,2701,5492,983,541,30.7,31.7,29.8,116,442,Citrus,85,3302,1854,0613560,10866,11195,6,761,"{'x': -13123874.446103057, 'y': 4044249.710416236, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",CA,06,86,5898
1086,1228,1013,1822,1759,1478,1112,925,687,477,206,1030,161,140,4.17,3.77,96, ,city,2709,6528,424,94,9,12114,3382,387,272,3470,6295,1144,549,31.1,32.5,29.8,169,601,Commerce,94,4886,1619,0614974,12823,13009,6,1763,"{'x': -13151212.145276317, 'y': 4027601.3323471285, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",CA,06,88,6930
1078,1065,812,1545,1479,1280,757,1032,444,179,60,1024,157,405,4.18,4.0,118, ,Census Designated Place,2361,5316,294,113,30,7706,2680,138,173,2854,5439,1231,529,27.4,28.0,26.8,122,460,Delhi,113,3930,1830,0618464,10755,11336,6,850,"{'x': -13444711.757006092, 'y': 4499298.107061699, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",CA,06,174,5655
234,281,904,2937,1738,1266,1038,252,614,292,100,424,44,2775,2.61,1.76,1764, ,city,1835,5097,238,139,16,927,5694,1891,1952,6646,4983,369,871,35.0,35.3,34.8,69,643,Emeryville,139,348,2013,0622594,10080,11010,6,3681,"{'x': -13613369.439535111, 'y': 4556575.985643423, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",CA,06,952,4490
904,863,720,1353,1233,1244,1011,919,629,377,182,899,171,138,3.45,3.04,67, ,city,2603,5314,408,143,8,4703,3378,442,320,3600,5020,969,832,31.3,32.6,29.9,162,384,Exeter,143,2416,2036,0623126,10334,10642,6,1342,"{'x': -13263169.278454319, 'y': 4341299.448459198, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",CA,06,222,7150
1033,1090,838,1590,1351,1068,754,1045,408,215,73,1123,213,72,4.28,4.08,60, ,city,2263,5254,391,148,5,8876,2595,160,161,2726,5334,1042,432,26.1,26.3,25.9,195,449,Farmersville,148,4494,1590,0623616,10588,10768,6,1005,"{'x': -13270153.83311003, 'y': 4342827.987568001, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",CA,06,131,5295
893,975,845,1550,1358,1224,934,996,491,271,86,1025,172,358,4.11,3.76,233, ,Census Designated Place,2293,5184,325,164,40,7338,2831,241,287,3057,5464,1001,508,28.7,29.4,28.1,182,693,Garden Acres,164,3908,1604,0628182,10648,10708,6,1227,"{'x': -13495220.12639721, 'y': 4574296.20625891, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",CA,06,226,5244
